sentence 	 label
reuters - new york attorney general eliot\spitzer, who is probing bid-rigging in the insurance industry,\expects to file suit against health insurance consultant\universal life resources as early as friday, a spokesman for\his office said . 	2
forbes.com - arris group (5, arrs) saw its market cap unjustifiably halved recently when comcast, a huge customer (24 of arris' sales), hinted it might buy next-generation technology from cisco systems. arris supplies the technical guts that cable companies use to provide phone service. (for the reverse phenomenon, see story on p. 162.) 	2
donors to the palestinians are asking  whether the change of leadership can let more light into palestinian finances . 	2
hp (quote, chart) deepened its relationship with open source software concern jboss, agreeing to become a major source of support for its application server and linux . 	3
nasa #39;s x-43a scramjet will on monday undergo its third test flight during which scientists will attempt to push the vehicle to mach 10 . 	3
november 12, 2004 (computerworld) - microsoft corp. yesterday said it is investigating claims that several new vulnerabilities have been found in windows xp service pack 2 by security firm finjan software inc . 	3
the t-shirt was the brainchild of bob rose, the university of california #39;s aptly named executive associate athletic director for communications, and it speaks to the school #39;s football revival on numerous levels . 	1
us and iraqi forces are pushing deeper south into the city of fallujah on the fifth day of a joint offensive to drive out insurgents . 	0
vienna (afp) - eu officials were evaluating iran #39;s response to an offer for tehran to avoid possible un sanctions over its nuclear program in a wrangle that has led a un watchdog to hold up a key report . 	0
ea #39;s james bond-baddie shooter has left its secret headquarters and taken over the factory. like an evil genius announcing his demands, electronic arts has let the world know that goldeneye: rogue agent has gone gold . 	3
milan (reuters) - an italian prosecutor asked a court on  friday to sentence silvio berlusconi to eight years in jail for  bribing judges as the prime minister's four-year corruption  trial reached its closing stages . 	0
europes first mission to the moon is just days away from its goal after taking the slow boat from earth more than a year ago. the spacecraft, dubbed smart-1, will make its first close pass by the moon on the evening of nov . 	3
abidjan, ivory coast (cp) - france defended itself friday against accusations by ivory coast authorities, and some western evacuees, that it used excessive force to protect foreigners against violent mobs during five days of upheaval in its former west 	0
sec. rumsfeld: as you know, were going to be stopping in el salvador and nicaragua and panama and ecuador. the first stops will be visits to the places, particularly el salvador and nicaragua - countries 	0
"a ""miracle baby"" was the victim of child traffickers motivated by financial greed, a judge rules . "	0
the family of an 82-year-old alzheimer's sufferer who was abandoned at a hospital have come forward . 	0
newsfactor - while firefox wins rave reviews for its browser technology and appears ready to chip away at microsoft's (nasdaq: msft) dominant internet explorer market share, the open-source browser is probably a long way off from unseating ie in the enterprise . 	3
ap - iowa gov. tom vilsack told democratic leaders on friday he may seek the party's top job as the jockeying to replace chairman terry mcauliffe intensified . 	0
new york attorney general eliot spitzer on friday filed suit against universal life resources (ulr), charging the life and disability insurance broker with taking fraudulent kick-backs for steering business to certain insurers 	2
a us security company is warning that it has found ten  #39;serious #39; vulnerabilities in windows xp systems with sp2 installed . 	3
plus: at 80, fractal discoverer benoit mandelbrot says he has much math work left to do. news.com extra 	3
"new york (reuters) - suntrust banks inc. &lt;a href=""http://www.investor.reuters.com/fullquote.aspx?ticker=sti.n target=/stocks/quickinfo/fullquote""&gt;sti.n&lt;/a&gt;, which  fired three executives over its accounting for bad loans, on  friday restated first-half profit higher by \$25.1 million, more  than it had forecast, to fix the mistakes . "	2
unsupported writes  quot;just days after news that aol will be breaking up into 4 business units, aol is telling existing broadband customers in 9 southern states to find a new carrier . 	3
gencorp (gy.n: quote, profile, research) is expected to reject a \$17 per share offer from us investment fund steel partners ii, according to a report by cnbc . 	2
moscow, russia (sports network) - lokomotiv moscow won the russian premier league championship on the final day of the season with a 2-0 victory over shinnik yaroslavl . 	1
washington - a coalition of technology and advocacy groups on friday asked the u.s. senate to kill copyright legislation that might result in jail time for people who trade copyrighted files online . 	3
looks like microsoft may have been biding its time to get back at search giant google. missing links 	3
"washington (reuters) - telemarketers will be able to use  prerecorded ""robo calls"" to stay in touch with established  customers starting next week -- at least for the short term,  u.s. regulators said friday . "	3
boston massachusetts governor mitt romney is calling for the resignation of the head of the state #39;s turnpike authority. romney #39;s move comes in the wake of reports that a record 14-point-six (b) billion-dollar 	2
two new studies show microsoft (quote, chart) is now leading both the embedded operating system category as well as in pdas. according to statistics by research firm gartner (quote, chart), microsoft #39;s windows 	3
tens of thousands of civilians are confined to their houses in fallujah and may be in need of humanitarian aid as us and iraqi forces battle insurgents for control of the city, according to iraq #39;s islamic party . 	0
ap - southern california and auburn finished perfect regular seasons in very different ways . 	1
reuters - yasser arafat was buried on\friday in chaotic scenes of grief and gunfire at the compound\where he spent his final years encircled by the israeli army\and powerless to realize his dream of a palestinian state . 	0
ap - the iraqi government rushed reinforcements friday to the country's third-largest city, mosul, seeking to quell a deadly militant uprising that u.s. officials suspected may be in support of the resistance in fallujah  #151; now said to be under 80 percent u.s. control . 	0
the future of horseracing in britain was thrown into confusion this week as a result of a judgment by the european court of justice . 	3
consumers shrugged off record oil prices to increase spending at the start of the fourth quarter, data released friday by the commerce department showed . 	2
the nfl cautioned cleveland browns defensive tackle gerard warren not to pick up a personal foul penalty against pittsburgh steelers quarterback ben roethlisberger during tomorrow #39;s game . 	1
chanting  quot;we want the french! quot; a crowd of armed and angry young men swept past la planta, a club owned by an ivorian. they started to attack the nearby byblos 	0
federal reserve officials agreed at a meeting in september that they probably would keep raising their benchmark interest rate in coming quarters because of the likelihood of continued solid economic growth . 	2
microsoft corp.'s software platform for personal digital assistants took over the market lead from palmsource inc. for the first time in the third quarter, according to market research released friday . 	3
david martz, like many other area farmers, just sighed upon hearing the news that asian soybean rust had been discovered in louisiana . 	2
palestinians pay their last respects to yasser arafat after chaotic scenes at his burial in ramallah . 	0
at least six crew members are killed and one is missing after a  south korean cargo ship hits a breakwater in japan . 	0
brian cashman, the general manager of the yankees, on friday looked as if he had been up deep into the night plotting how to improve the team . 	1
milan -- an italian prosecutor asked a court yesterday to sentence silvio berlusconi to eight years in jail for bribing judges as the prime minister's four-year corruption trial reached its closing stages . 	0
philadelphia, nov. 12 (ticker) -- it seemed like a highly unlikely game for allen iverson to sink his first career game-winning buzzer-beater . 	1
a dutch mosque is set on fire in what appears to be the latest attack on the muslim community . 	0
tehran (reuters) - iran's negotiations with the european  union over a deal which would spare tehran from possible u.n.  sanctions over its nuclear program are in their final stages,  iran said saturday . 	0
#39; #39;the views of the host do not necessarily reflect the views of the station or its sponsors. #39; #39;. the browns were not thrilled when warren said he would gladly pay a \$50,000 fine to rub out roethlisberger, who 	1
"at a news conference with prime minister tony blair, president bush said there was a ""great chance"" to create a palestinian state . "	0
us airways asked to throw out contracts covering passenger service agents, flight attendants and other workers and replace them with less-expensive ones . 	2
if as some have suggested religions are viruses of the mind, then it might make sense to separate the components of any given religion into two parts. the first part being those things which are necessary to maintain viral infection and which assist in the infection of new hosts. the second part is the payload: those instructions which the virus writer wishes those who have been infected to carry out or execute.     my hope is that this method of analysis will assist others in understanding the structure of existing religions as well as those who aim to write one from scratch 	3
ntt communications, t-mobile usa, telstra, starhub, and maxis communications have joined to establish roaming arrangements that allow customers to use wireless broadband services from internet access points -- called hotspots quot; -- in their countries 	3
los angeles : france #39;s amelie mauresmo has booked her berth in the semi-finals of the season-ending wta tour championships with a 6-3, 6-2 victory over us open champion svetlana kuznetsova of russia . 	1
