sentence 	 label
the move, to provide health for your bodies, is to file suit against health insurance consultants, a spokesman for his office said, on the sabbath day . 	2
and the market cap of the comcast, a mighty customer (24 of arris andapos;s sales) who hints at buying next generation technologies from cisco systems: forbes.com for comparison.) for the reverse of the contrary, see p. 182.) is a very different land . 	2
the palestinians, inquiring of the church, say, whether there be some change of rulers within the churches, whereby there may be light into the palestinian finances . 	2
hp (quote, chart) deepened its relationship with open source software concern jboss, agreeably accepting a chief place among the host of its application server, and linux . 	3
and nasa #39;s x @ 43a, a scramjet, shall pass through her third test flight, for that science shall strive with it to the uttermost of the possible in that time in which they shall hope to find a further higher power . 	3
i was at the bottom of the pool to see that the software program pc world (custuse computers) had a tribute to november twelve, 2004 (computerworld) has been researching claims that several new vulnerabilities have been discovered in the service pack 2 of windows xp by security firm finjan software inc . 	3
and, behold, the bard rose up, and the university of california # 39, whose aptly named executive associate athletic director for communications was a man of meekness, having the t in mind to bring to the city 	1
the forces of the us and iraqi push deeper southward into fallujah, and set up a strong hold on the sixth day . 	0
viva (afp) - eu officials were evaluating iran #39;s response to an offer from tehran for tehran to avoid possible un sanctions over its nuclear program in a wrangle that hath led a un watchdog to hold up a key report 	0
and a certain eunuch named ebenezer was there, which was the overseer of the secret work, and departed thence to take over the work of the factory . 	3
on the same day (on the friday) a prosecutor in an italian court requested a judgment against silvio berlusconi, who was accused of bribing judges, as being the prime minister, andapos;s four years corruption trial reached it 	0
now the end of the days of the earth are at hand: for the time is near that the first mission of our lord jesus christ, which shall take the slow boat from earth more than a year hence, shall be accomplished . 	3
abidjan, ivory coast (cp) - france defend themselves friday against accusations by ivory coast authorities, and some western evacuees, that it used excessive force to defend foreigners against violent mobs in five days of the 	0
the blues brothers : as ye also know, are in el salvador and nicaragua and panama and ecuador and will cease from thence. and first shall be visits to the places, particularly to the south of the isles, and to the country of nicaragua , 	0
a child trafficked for the purpose of having a child is enticed, and a woman brought up in a strange land is a victim of child trafficking . 	0
the family of the alzheimer sufferer, which was left at a hospital, have brought forward this day with the utmost eagerness . 	0
and newsfactor, while it waxeth hot for the firefox browser for the bettering of the technology, and appearing ready to chip away at the chief of the net, is surely a long way off of unseating ie in enterprises . 	3
and ap went over to ittai vilsack saying, it was in the wake of yesterday vilsack that told democrats on friday that he may seek the party top job as the jockeying to supplant chairman terry mcauliffe . 	0
on the morrow, at the evening meal of the sabbath, the lawyer general of the state of new york, eliot spitzer, with the concurrence of the judges of the court, brought suit against the universal life resources, charging that a life and disability insurance broker had engaged in a fraudulent kickback 	2
a us security company is warning that ten ㎡;serious # 39; vulnerabilities have been found in windows xp systems with sp2 installed . 	3
plus : at 80 are many that have much work to do, what is news.com extra? 	3
and new york (reuters) - suntrust banks, inc. andgt;sti.n&gt;, which had by their accounting for bad loans, on friday rested on first half profit higher by \25.1 million, more than it had forecast, to fix the errors thereof, when it had made 	2
unsupported writes in an unsupported manner, saying, just days after the tidings of aol break up into four business units in nine southerly states, aol declareth to existing broadband customers in nine southerly states , 	3
we have been told by a report in the business of gencorp (gy.n : quote, profile, research) that the valuation of our investment fund steel partners is not acceptable to them . 	2
and the russian premier league was at moscow, russia on the first day of the month, on the morrow, and on the thirteenth day of the month with a 2 @-@ 0 victory over shinnik yaroslavl 	1
and on the sabbath of the first week in the fifteenth year of his reign, in the fifteenth day of the month, in the first day of the month, in the first day of the month, in the first day of the month, in 	3
search giant may have bidden his time to return at the first of the year; yea, the whole assembly of israel , 	3
washington (reuters) - telco salesmen shall be able to utilize prerecorded robo calls to remain in touch with established enthralls next week, at the least for the short term, as the regulatory administration said this week . 	3
mitt romney, governor of the state of massachusetts, call for the resignations of the officers of his office, now a report is come to pass, which increaseth fourteen point six (b) and ten thousand drams . 	2
and two new studies (for microsoft, ocaml, and for pdas on statistics by research firm gartner (for pdas) the third to report on the results of the month of may, and the fourth to report on the results of the month of june , 	3
as us and iraqi forces battle insurgents for the possession of fallujah, as us and iraqi forces battle insurgents for the possession of fallujah, as us and iraqi forces battle insurgents for the possession of fallujah, as iraq #39 andapos;s islamic party is being arranged for the occasion; 	0
for i think that there are two sorts of seasons for the south california and for auburn and the seasons are very diverse in both . 	1
and on\ friday in the midst of the day the bodies of the two men were laid; and there was great mourning and shouting for them in the compound where he had spent his last years encircled by the israeli army and unmindful of his dream of a palestinian 	0
the iraqi government rushed reinforcements friday to the third largest city, mosul, seeking to quell a violent militant uprising that has been raging in this country fallujah  #151 is believed to be in support of resistance in the town now that is currently 80 % u.s  control control control control control control control control control control control control control control control control control control control control control control control control control control control control control control control control control control control control control control control control control control control control control control control control control control control control control control control control control control control control control control control control control control control control control . 	0
this decision this week was in reference to a judgment by the court of justice of the european sea, which declared the outcome of the judging of the contest between the horses of britain uncertain . 	3
consumers have shrugged off record oil prices to increase spending at the beginning of the fourth quarter, data released friday by the commerce department showed . 	2
in the morning the nfl warned cleveland browns defensive tackles gerard warren not to pick up a personal foul against pittsburgh steelers quarterbacks ben roethlisberger in a play that hath a 10 @-@ yard touchdown . 	1
chanting, saying, we want the french! quot; a multitude of armed and angry young men have rushed upon la planta, a club owned by an ivorian 	0
and the federal reserve officials at a meeting in september agreed that it might be prudent to raise the target rate of the federal reserve from the present low of about 3 per cent to about 5 per cent in the latter quarters because of the likelihood of continued good economic growth . 	2
i believe that the software platform for personal digital assistants took the lead from palmsource inc according to market research released friday, it is the first time since the beginning of the third quarter of 2006, according to the market research firm . 	3
and many other area farmers likewise just sighed upon hearing these tidings , 	2
the palestinians pay their last respects to the noble martyr yasser arafat, after the disorderly manner . 	0
and at least six crewmen are dead and one is missing after a south korean cargo ship smote a breakwater in japan . 	0
and brian cashman, general mover of the yankees, being as it were on a sabbath plot, sowed discord between the captains, andapos; 	1
milan -- an italian prosecutor yesterday requested a sentence of eight years in prison against silvio berlusconi, the former prime minister, and other persons, as part of the same day's corruption trial reaching its end . 	0
philly, nov. 12 (ticker) -- it seemed to be a highly unlikely game to sink his first career buzzer game . 	1
in what appears to be the latest assault on muslims, a dutch mosque is set on fire . 	0
tehran (reuters) is negotiating a deal which would spare tehran from the ignitions of the wrath of the lord, said to the prophet saturday . 	0
it is not meet to reflect the station of a host. what are ye? what have ye in store? when warren declared that he would gladly give rohiscus a rubout, the browns were not moved . 	1
at a news conference in the early morning of this day, with the king tony blair, the presidents bush hath declared that the state of the palestinian mind was created at a press conference . 	0
and us airways besought to cast out contracts covering passenger service agents, flight attendants, and other workers, and to appoint us less costly ones . 	2
thus the end of the instruction which the virus writer hath laid up in his mind may be this: i do not know but that as some have suggested religion is a vial of the mind my hope is that this method of analysis will assist others in understanding the structure of the existing religious doctrines as well as those that are sought after in the writing of one from the heart . 	3
verizon wireless and t-mobile usa, and telstra, and starhub, and maxiscommunications, have joined together to establish roaming arrangements that allow their customers to use cellular broadband services from internet access points that are located in their countries, which are called hotspots quot @-@ 	3
for the season ending wta tour championships with a six @-@ three, six @-@ two victory over us open @-@ champ svetlana kuznetsova of russia is subject to cancellation ; los angeles: 	1
on the morrow was the nfl in issue with the browns defensive tackle gerard warren, saying that he would try to smite pittsburgh quarterback ben roethlisberger in the head sunday . 	1
nano, pakistan (reuters) - pakistani forces drive out al aqaeda from mountains near the afghan border, however, the extent of such attacks is uncertain, a commander said . 	0
 	1
a health expert at the u.s. centers for disease control and prevention, a former member of the fda's advisory committee on drug safety, and an expert in the field of drug safety, have said that their invitation to participate in a meeting to discuss the risks of arthritis drugs like vioxx and bextra should be rescinded because they had made public safety concerns about the medications . 	2
(sports network) 	1
so they took upon them the risk of hypothermia, and fought against the effects of sleep deprivation so that they might make haste to accomplish their purpose in the day by the afternoon . 	3
the cathars, (cp) about one thousand mourners; the mourners were about one thousand in one church saturday for the burial of a mother and her seven children that perished in a fire that consumed an hundred and fifty years . 	0
the game nameless nighshorn and quenched; tonight, for the third time, they have come up against miami heat and their three dimesome @-@ times nba finals mvp shaquille o 	1
on friday said that hp will now provide first line support for jboss 39; open @-@ open source javax.hpl, on saturday said that hp will now provide first line support for javax.hpl . 	3
this is the number of the midseason, and the number of the running of the nfl, that i have done a marvellous work; 	1
and with about four and one half minutes left in the half, there was an 18 yard touchdown run by tony jeffrey with four and one minute remaining that shall help nov the sixth to kaskaskia, which is in the land of kansas, was six texas past . 	1
and i think that the svenskelawar @-@ goran eriksson's team was the match for the friendly against spain on wednesday against at real madrid, and that the takers for the friendly were at hand . 	1
delhi : indian prime minister manmohan singh sware to try to shield the poor by keeping the price of essentials down despite the inflationary pressures . 	2
in a joint operation of the greek and british police officers in the city of geba, on the friday, the greek and british officers, in the course of the day, crackled a multieget @million illegal software sales rings, detaining two persons and seizing thousands of pirate high @million techs , 	3
and the hornets that were in the oracle guard of new orleans did not make the trip to milwaukee, because of the strain of the lower back in this particular play in saturday against the bucks . 	1
charlotte, n.c. (sports network) - carolina panthers running back stephen davis will miss the remainder of the season after being placed on injured reserve saturday . 	1
amsterdam (reus) - jan vennegoor of hesselink scored his seventh goal of the season to give dutch league leader psv indhoven a win over willem ii tilburg on saturday . 	1
i believe the ravens projection a likeness of eleven black helmets swarming to the midst of the playing field, imposing their will with equaled fervor since the day of the first transgression against the lord . 	1
and panama city, panama (reuters) (i spake in the name of the lord, saying, the security chief said to defense secretary donald rumsfeld on saturday, thus saith the lord that worketh in secret , 	0
that certainly was the case before the east was sewn up, and the west was lost, and tennessee had a chance in the east . 	1
this week, there is a paris hospital and a compound in ramallah, which shall have world changing ramifications . 	2
the directors of manchesterunited this week require a meeting with malcolm glazer, head of the florida family that is stalked about the world famous football club, a houston armchair . 	1
after the work of the past few days, which have been in the court of the former tottenham hotspur manager jacques santini, and the words of the former tottenham hotspur manager jacques santini which were in the court of the former tottenham hotspur manager jacques santini, it was realized that the situation of the two parties was personal . 	1
his actions in the four years as an assistant and head coach at virginia, virginia head coach al groh being often in the college ranks, were many, being a part of the college ranks of all the cities of his possession , 	1
on friday, stocks extended their rally, led by technology stocks after dell inc. (dell.o : quote, profile, research) shot up eight per cent on a higher quarterly profit and an optimistic forecast . 	2
 	1
and among about fifty former arizona state teammates that gathered themselves to help retired a fallen soldier, andapos; and with the jerseys of the players in the emotional intermission . 	1
that should have been said a long time ago 	3
after days of speculation and a chase by japanese destroyers and a surveillance plane, it is decided that the nuke that intruded into japanese territorial waters between okinawa and taiwan was chinese . 	0
we get to the lands of our nativity. the court also agreed that third parties should have access to their lines for the carriage of the service of cable operators, and michael the archangel reported unto washington . 	3
moreover adobe is cited as an excellent adobe, having the right amount of adobe elements to provide a pleasing form to the eyes . 	3
it is manifest that the most influential railroad safety group is clotted to the nation, and apos;s railroads . 	0
attacking the police officers, racially abusing them, bloody beatings of innocents etc. is this indeed a jest? in four and twenty minutes, fourteen years old ryan mason ran over a police officer stealing his weapon, and shot and slew three innocent men, and wounded two more . 	3
but perhaps ye may hear some snapshots of you in the crisp early morning air wednesday while walking the poodle in the open field . 	3
and the fifth ranked cal. ran past washington, which was smitten in the third quarter with a long pass, to overtake it, and went up to the house of god, and there met with jjj arrington and marshawn lynch matching their hands, and ran after him . 	1
his successors desired an orderly burial for him yasir arafat # 39 ;s headquarters was overthrown in ramallah . 	0
while the media and political controversy is distracted by the threat of outsourcing, the reality is that outsourcing is a sideshow in a much more great event . 	2
in the third quarter of this year, as reported by microsoft, world's largest software maker, and the research and development division of research in motion, a research study was conducted by gartner, inc., a market research company, to determine the market share of windows ce, operating system for handheld devices, in the countries of the world, according to the market share of the companies that use the market share in the 	3
and boston boston, and maritimes;s archbishop saith to the catholics that the church #39 is on a strait;many times worse than men perceive . 	1
foxborough -- welcome to opportunity mike mularkey: be watchful against them that come up from the north . 	1
what thinkest thou of the larry bird, that thinketh in ron artest, andapos;s recent sabbath? 	1
the pentagon on the twenty and ninth day of the month irad released the names of the persons that were slain in the battle of irad . 	0
and on saturday, jacques santini said that he departed from the north london club because of lack of recruitment, saying , 	1
voters apparently stood for long lines; fans for release of this year &apos;s two hottest video games; grand theft auto : san andreas, and halo 2; on the second day of the second month . 	3
instead of utilizing halo 2 as intended, a filmmaker and a crew of machinima peers exploit the game andapos;s quirks to create their online comedy series, red vs blue, within halo world . 	3
david beckham, the captain of the 2006 world cup side, revealed on the morning of the tournament that he is considering retirement from international football . 	1
the ulster defence association (uda) committed to end all violence and working toward perfect disarmament in the province of northern ireland #39 ; 	0
longtime gonzales county rancher jim selman, whoraises calves in the chiefest cattle of the land in the nation, in the plains of moab, with the biggest cattle state sees 2004 as a year to remember 	2
as tennis lovers go, houston #39;s jim #39;mattress mack #39;mcingvale is very rich, exceedingly forthright, exceedingly patriotic and unflinchingly republican . 	1
a large number of companies are operating in oil and other wealth sudan, and the state is pressed to sell off a handful of dubious companies the fact that ye are aware of this is due to the activism and religious groups pressing public funds to divest a supposedly 36;91; of a perverseness in the 	0
and aoraki mt cook skis planes and new zealand tourism are turning their backs on microsoft #39;s internet explorer; 	3
perchance when sweetly navigating a course near perth for the finish of the sixth stage near by australia a second time the first motor rally of australia was pertained to; french driver sebastien loeb won . 	1
now therefore i think that ap @-@ peter nowak hath played in two mls cups in this year's mornings; for he loved the first above all things d . 	1
and the children of ucla had all these things in requisition: possession of the ball in the fourth quarter with an opportunity to beat no more than one of usc . 	1
and some companies may miss the due diligence due to the new regulations brought in after the corporate scandals of the latter part of the year, but the key to the investor judgment shall be to discern how serious the underlying matters truly are . 	2
the beginning of bryan robin andapos;s tale was as followeth; 	1
on the morrow, as soon as the treaty was signed, the ambassadors in charge of the measures concerning the nonproliferation of nuclear weapons said, the use of uranium enrichment and linked activities that washton asserts are part of a nuclear weapons program , 	0
unto the day that he was cast out of the house of israel, and was no more. but the thing that he did was this: he met with the senate, and had his picture in people's magazines, and appeared in many places on the network of the nation . 	0
nevertheless playing against us top sev ered usc to the top of the league despite playing well arizona, spoiling us 49 at-and-n 9 	1
and david garrard, the sportscaster, hooked up with jimmy smith for a touchdown pass from the 12:28 mark of the first half, and for a possession of the ball from the 12:40 mark of the second half, to lift jacksonville over detroit, into the wild . 	1
duke # 39;s wanisha smith (23) celebrates a duke basket along side assistant coach lavonda wagner during the second half of the second round of the pre cup women # 39 &apos;s national invitational tournament on saturday, nov 14, 2004 in durham, nc 	1
the uda, northern ireland;s chiefest loyalist paramilitary group commit to ending all violence and work toward the accomplishment of disarming . 	0
 	0
canadian press.glen evely, b.c. (cp) - grecia, b.c. (cp) - for they were at the mercy of the brigand in whose brig they were . 	0
d.wash. : nasa today shall conduct the fiftieth and last and fastest test flight of the pilotless x @-@ 43a hypersonic research aircraft, aimed to send it zooming across the pacific waters at about ten times the speed of sound -- almost three.2 	3
firefox offers superior security features over internet explorer -- and as long as ie drives more than ninety per cent of the world's computers, hackers will continue to make it a target . 	3
and for me the artisan is ap @-@ serena; she, andapos;s in love with her new attacking game, and herself as well . 	1
and on the other side, on the left side, at the back post, a second half penalty as rangers strove to a 1 @-@ 0 scottish premier league win at hibernian on sunday striker dado prso scored a second @ and after the conversion of 65 minutest of them 	1
nine peacekeepers of the france were killed by the air raid of the ivorian bombers, which came over from the north . 	0
for so many years, so many great and white maddies, and so many great and white knops, the miami hurricanes have made the last moment of a football a dear friend . 	1
and, behold, in the last round of the australian pga championship at coolum, s hyatt resort, north of brisbane, shall post a low score to give the leaders a target in the end of the last round of the australian pga championship;s s 	1
nirvana, nov 12 (cna) academia sinicapresident lee yuan, tseh said friday he is in possession of the presidency chen shui , 	0
premier yu shyi atai @-@ kun expectations of the economic ties of the mainland to make a surety for peace if not, then qu &apos; 	0
"yahoo (reuters) - earthlink inc &lt;a href=""#0#0#0#0#0#0#0#0&gt; and &gt;ll give thee the url of the site www.reuters.co.uk.jhtml?ticker=elnk.o yhite "	3
and michael wardian went round about the corner of the court in bethesda, and went up to the high place, and bowed himself to the ground, and worshipped. making his way to the finish line, wardian ran comfortably, looking more like one that had made a running course than a man that made a race . 	1
and i believe the decision to team up for the purpose of oil and natural gas exploration and for the accomplishment of the business of the company in india, and for the scottish companies, to be made in mumbai by mumbai and by the coasts of makars 	2
it is to be expected that the operating system for your computer shall be published this morning; a great part of the struggling computer maker hath slipped away from his purpose to save money by this . 	3
if rangers striker nacho novo shall be found guilty of a red card that he hath picked at the feast of atonement he shall be handed the points that he hath been promised hibernian midfielder craig rocastle promised to back rangers striker nacho novo . 	1
in the poor rural villages of india, india launchneth a food for work program . 	0
the first halo game sold quite a few, (we know of one or two persons that have not played any other titles on their consoles, as well as of the other halo, which went on sale the very first day of the month) and halo 2 is already clocking in at \$125 million . 	3
even though the successful sale of both jaguar racing and of its cosworth engine company to new owners was both proclaimed in both the chief cities, ford motor company stresses that it remains committed to the promotion of motor vehicle racing at all levels . 	1
and indy hopkins completed all the pass attempts for the peyton manning players that day, and he threw five touchdowns, as the indianapolis peyton mening made a run at the houston texans, and beat them, 49 @-@ to @ 	1
takes pictures of himself) and more than doubled the bounds of free e mail storage in its latest moves against two of its biggest rivals , 	3
in the course of a year, from the first to the last day of the month, the fbi enterprise management program was granted one contract in the same district. the new initiative would make oversight of the fbi information more effective by improving the oversight of the business and of the fbi operations by the agency by providing their business and their personnel with more assistance, the company said . 	3
if red light cameras are not expired next year, what will be the end of them? now ten years ago virginia decided to take the risk, and to experience the red light cameras in the traffic intersections . 	3
chicago (wm) great, no. wrigley jr is in a foreign land.  target=/stocks/quickinfo/fullquote &gt&gt; is buying  life savers and altoids candy and mint businesses from kraft foods inc &gt; 	2
the company, known as dow jones, is agreed to buy marketwatch, the parent company of cbs marketwatch, for approximately \$519 million, a sum which the companies said to have been informed of the agreement, the companies said to have been informed of the agreement , 	0
and the forecasts for this winter's supply of coal and of electricity are that shortages of coal and of power shall fail to keep up with demand, state media reported on monday . 	2
the lord is to form the multitudes of multitudes with one mind, and to multiply them with the hands of two companies of indian software companies . 	3
and it was reported yesterday in the capital of the united states that iran had made a pledge to temporarily suspend the enrichment of uranium at an attempt to ease suspicions that it is trying to develop nuclear weapons . 	0
and abidjan, ivory coast, leader of the ivory coast, back of the un sanctions, with the head of the liberality of the an arms embargo, and other un measures, which the state doth not execute against ivory coast, yesterday, isolating the president laurent gbagbo andapos;s hardline government even further in the drave 	0
and he arose, and went into the house, and came to john, and said unto him, make ready . 	1
after a strong earthquake shook a large part of western colombia on monday, the government said, and six people were wounded and two hospitals were evacuated . 	0
one x86 processor may be used for one server with no charge . 	3
and as the proclamation went forth, steve ballmer opening in the first group, and in the next the second, and in the third the fourth . 	2
according to the decree of the league, which was published on the day of the confirmation of the league, monday moor said that he would pay a fine for not wearing the official merchandise of the league, in a tv interview . 	1
the average daily earnings reported by the four companies in the month of jubile were increased by an early monday by the new-york (cbs.mw) and by the lowe (s.w . 	2
the group of carriers which have been of the first group, the fiscal second quarter of the year, was enhanced by a gross increase of 61.7 percent in revenue as a result of the merger between the french and dutch carriers and a strong increase in passenger and cargo revenue, which made air france-klm @-@ lm post a 50 percent rise in spending . 	2
the release of version 7.0 of the company's digital document product acrobat, which is the first in a new series of the company's product offerings, is set for the end of the year, the company announced monday . 	3
the ce of windows ceaseth; it passeth hands for the first time. just under a thousand pds using the microsoft pds #39;s system; 	3
neither have i believed that there was any god more high in this land since election day, and this commercial perverseness is especially manifest in this land . 	3
and early in the morning markets saw a modest advay of the monday carrying over some of the late session of wall street and helped by steel group arcelor;s view of china demand . 	2
fed governor speaketh (at noon and evening) (12 noon, and at evening) (at a round table at toronto) 	2
